犬いぬ	狗 いぬ、いぬ- ケン dog words with this kanji: 子犬こいぬ - puppy
昨さく	きのう ザク、サク yesterday, previous words with this kanji: 昨日きのう - yesterday 一昨日おととい、一昨日いっさくじつ - the day before yesterday
明めい	朙、清 あ.かり、あか.るい、あか.るむ、 あか.らむ、あき.らか、あ.ける、 -あ.け、あ.く、あ.くる、あ.かす メイ、ミョウ、ミン bright, light Akira (male given name) words with this kanji: 明日あした - tomorrow 明後日あさって、明後日みょうごにち - the day after tomorrow 明あかるい - bright, cheerful 不明ふめい - unknown, unclear, indistinct 明あきらか - clear, obvious, distinct 説明せつめい - explanation 文明ぶんめい - civilization
勉べん	勉 つと.める、はげ.ます、やつ、ひこ メン、ベン exertion, endeavour, encourage, strive, make effort, diligent words with this kanji: 勉強べんきょう - study
強きょう	つよ.い、つよ.まる、つよ.める、 し.いる、こわ.い キョウ、ガン、ゴウ strong Tsuyoshi (male given name) words with this kanji: 勉強べんきょう - study 強つよい - strong
友とも	朋 とも ウ、ユウ friend Yū (male given name) words with this kanji: 友達ともだち - friend 友人ゆうじん - (formal) friend
達たち	たち タツ、ダチ plural marker similar looking character(s): 違 私達、僕達、聖者たち、キサマたち
曜よう	𫞂 ひか.る、かがや.く ヨウ weekday Yō (female given name) words with this kanji: 曜日ようび - day of the week 日曜日にちようび - Sunday 月曜日げつようび - Monday 火曜日かようび - Tuesday ... and the rest of the weekdays 何曜日なんようび - which day of the week
火ひ	伙、灯 ひ、-び、ほ- カ、コ fire words with this kanji: 火曜日かようび - Friday 火事かじ - fire (as a disaster); conflagration 大火事おおかじ - big fire (buildings, etc. on fire) 火災かさい - fire, conflagration (as in a disaster) 火山かざん a volcano 火山列島かざんれっとう - chain of volcanic islands 噴火ふんか - eruption 活火山かっかざん - active volcano 火傷やけど - a burn (caused by heat); a scald
木き	樹 き、こ- ボク、モク tree, wood words with this kanji: 木曜日もくようび - Thursday 木この葉は
金きん	かな、-かな、かね、-がね、くがね、 こがね キン、コン、ゴン gold (Au), money, metal words with this kanji: 金曜日きんようび - Sunday お金かね - money 金属きんぞく - metal
土つち	つち ド、ト soil, earth, ground, Turkey words with this kanji: 土曜日どようび - Saturday 土産みやげ - souvenir 土地とち - ground; land
忙ぼう	恾 いそが.しい、せわ.しい、おそ.れる、 うれえるさま ボウ、モウ busy, occupied, restless words with this kanji: 忙いそがしい - busy
週しゅう	めぐ.る シュ、シュウ week Shū (male or female given name) words with this kanji: 週末しゅうまつ - weekend 毎週まいしゅう - every week 週間しゅうかん - week 今週こんしゅう - this week 来週らいしゅう - next week 先週せんしゅう - last week 再来週さらいしゅう - the week after next 今週末こんしゅうまつ - this weekend
末すえ	すえ、うら、うれ、お.わり マツ、マチ、バツ end, close, tip, powder, posterity words with this kanji: 週末しゅうまつ - weekend
平へい	たい.ら、たい.らげる、ひら ヘイ、ビョウ、ヒン、ヒョウ、ベン、 ヘン even, flat, peace Hira (female given name, surname) Taira (surname, male given name, placename) Hei (surname) Osamu (surname, male given name) Hitoshi (surname male given name) Hiroshi (male given name) Yasushi (male given name) Yoshi (surname) words with this kanji: 平仮名ひらがな - hiragana 平日へいじつ - weekday 平和へいわ 平和的へいわてき
右みぎ	佑 みぎ ウ、ユウ right
左ひだり	㔫 ひだり サ、シャ left words with this kanji: 左側ひだりがわ - left-hand side
上うえ	うえ、-うえ、うわ-、かみ、あ.げる、 -あ.げる、あ.がる、-あ.がる、 あ.がり、-あ.がり、のぼ.る、 のぼ.り、のぼ.せる、のぼ.す、 たてまつ.る ジョウ、ショウ、シャン up, on, top, above words with this kanji: 上司じょうし - b0ss
下した	元、許 した、しも、もと、さ.げる、さ.がる、 くだ.る、くだ.り、くだ.す、-くだ.す、 くだ.さる、お.ろす、お.りる カ、ゲ below, down, descend, give, low, inferior words with this kanji: 地下鉄ちかてつ - subway 廊下ろうか - hallway 靴下くつした - socks 下手へた - unskilled 下さげる - to lower 下さがる - to hang (down), to fall, descend 以下いか - less than; at most, not more than, not exceeding 本田ほんださんは木きの下したがいます。 お前まえは下したがいる。
隣となり	隣り、鄰、厸 とな.る、となり リン neighboring Rin (female given name) 隣となりする - to neighbour/neighbor, be adjacent to 隣となりに母ははがいます。 となりのトトロ
横よこ	よこ、よこ.たわる、よこ.たえる、 おごる オウ、コウ sideways, side, horizontal, width, woof, unreasonable, perverse words with this kanji: 横浜よこはま - Yokohama 父と母ははの横よこにいます。
冊さつ	册 ふみ シャク、サツ、サク tome, (counter for books), volume 日本語にほんごの辞書じしょは一冊いっさつしか持もっていない。
隅すみ	角 すみ グ、グウ corner, nook あの隅すみには本棚ほんだながあります。
棚たな	たな、-だな ホウ shelf, ledge, rack, mount, mantle, trellis words with this kanji: 本棚ほんだな - bookshelf
長ちょう	镸、永、丈 なが.い、おさ、た.ける、つかさ チョウ、ジョウ long, leader, superior, senior Chō (surname) Osa (surname, place name) Naga (surname) Tsukasa (surname, male or female given name) Take (surname) Takeru (surname, male or female given name) Hisashi (surname, male or female given name) words with this kanji: 長ながい - long 長袖ながそで - long sleeves 社長しゃちょう - (of a company) president; CEO; executive director 校長こうちょう - principal or headteacher of a school 身長しんちょう - height; stature (the tallness of a person) 市長しちょう - mayor
布ぬの	ぬの、し.く、きれ フ、ホ linen, cloth, spread, distribute words with this kanji: 布団ふとん - futon 財布さいふ - wallet 毛布もうふ - a blanket
団とん	團 かたまり、まる.い ダン、タン、トン group, association words with this kanji: 布団ふとん - futon 団子だんご - 花はなより団子だんご -
片かた	かた-、かた、ひら ヘン one-sided, leaf, sheet words with this kanji: 片隅かたすみ - corner 片仮名かたかな - katakana
新しん	あたら.しい、あら.た、あら-、 にい-、さら シン new words with this kanji: 新あたらしい - new 新聞しんぶん - newspaper 新宿しんじゅく - Shinjuku 新幹線しんかんせん - shinkansen 新鮮しんせん - fresh
低てい	仾 ひく.い、ひく.める、ひく.まる タイ、テイ lower, short, humble words with this kanji: 低ひくい - low
古いにしえ	ふる.い、ふる-、-ふる.す、いにしえ ク、コ old words with this kanji: 古ふるい - (not of a person) old, aged, antiqued
蔵ぞう	くら、おさ.める、かく.れる ゾウ、ソウ warehouse, storehouse words with this kanji: 冷蔵庫れいぞうこ - refrigerator
庫こ	くら コ、ク warehouse, storehouse words with this kanji: 冷蔵庫れいぞうこ - refrigerator 車庫しゃこ 金庫きんこ
紙かみ	帋 かみ シ paper similar looking character(s): 絵 words with this kanji: 手紙てがみ - letter (written message)
手て	て、-て、て-、-た シュ、ス hand words with this kanji: 手紙てがみ - letter お手洗てあらい - restroom, bathroom 手洗てあらい - hand washing 運転手うんてんしゅ driver 手袋てぶくろ - glove 上手じょうず - skillful 下手へた - unskilled 切手きって - stamp 苦手にがて - bad (at), poor (at) 選手せんしゅ - player, athlete 空手からて - karate 手伝てつだう - to help; to assist 取とっ手て - handle; grip 手続てつづき - procedures 手荷物てにもつ - luggage, hand luggage, baggage 手巻てまき寿司ずし - hand-rolled sushi (usu. cone-shaped) 拍手はくしゅを送おくる - to give a round of applause; to applaud 歌手かしゅ - singer 拍手はくしゅ - applause 手段しゅだんを選えらばない - to do whatever it takes; to use every trick in the book; to use any means; to stop at nothing 自衛手段じえいしゅだん - measures to defend oneself (for self-defense) (defence) 手段しゅだん - procedure; method; way; a means (to an end)
歌うた	うた、うた.う カ song, sing words with this kanji: 歌うたう - to sing
絵え	繪、画 カイ、エ picture, drawing, painting, sketch similar looking character(s): 紙 words with this kanji: 絵本えほん - picture book
枚まい	片 ひら マイ、バイ sheet of..., (counter for flat thin objects or sheets) 写真しゃしんを二百にひゃく枚まい撮とりました。
映えい	うつ.す、うつ.る、は.える、-ば.え ヨウ、エイ reflect, reflection, projection words with this kanji: 映画えいが - movie
画が	畫 えが.く、かく.する、かぎ.る、 はかりごと、はか.る ガ、カク、エ、カイ、ワク brush-stroke, picture (counter for number of strokes in a kanji) words with this kanji: 映画えいが - movie 映画館えいがかん - cinema 漫画まんが - comics, manga 計画けいかく - a plan, planning, schedule, conception 絵画かいが - painting 映画監督えいがかんとく - film director
